gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif
54863,2010,1,MIN,0.75,0.5,NO,0.813,0.75,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,10.5625,0.0,0.0,0.0,9.875
54871,2010,1,CLE,0.313,0.25,TB,0.188,0.125,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,-9.75,0.0,0.0,0.0,-8.125
54864,2010,1,MIA,0.43799999999999994,0.375,BUF,0.375,0.375,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.33399999999999996,0.0,0.0,0.0,-4.25,0.0,0.0,0.0,-1.875
54868,2010,1,CIN,0.625,0.5,NE,0.625,1.0,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,8.875,0.0,0.0,0.0,0.875
54866,2010,1,IND,0.875,0.875,HOU,0.563,0.5,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-1.0,0.0,0.0,0.0,3.4375,0.0,0.0,0.0,6.8125
54867,2010,1,DEN,0.5,0.5,JAC,0.43799999999999994,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,-5.625,0.0,0.0,0.0,0.125
54872,2010,1,OAK,0.313,0.375,TEN,0.5,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-11.375
54869,2010,1,CAR,0.5,0.375,NYG,0.5,0.5,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-1.0,0.0,0.0,0.0,-1.5625,0.0,0.0,0.0,0.4375
54865,2010,1,DET,0.125,0.0,CHI,0.43799999999999994,0.625,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-14.5
54874,2010,1,ARI,0.625,0.75,STL,0.063,0.0,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,-0.33399999999999996,0.0,0.0,0.0,-16.3125,0.0,0.0,0.0,3.125
54870,2010,1,ATL,0.563,0.375,PIT,0.563,0.75,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,2.375
54873,2010,1,GB,0.688,0.625,PHI,0.688,0.75,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,-1.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,10.25
54875,2010,1,SF,0.5,0.25,SEA,0.313,0.5,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-0.33399999999999996,0.0,0.0,0.0,-6.875,0.0,0.0,0.0,3.0625
54876,2010,1,DAL,0.688,0.625,WAS,0.25,0.375,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-1.0,0.0,0.0,0.0,-4.375,0.0,0.0,0.0,6.9375
54877,2010,1,BAL,0.563,0.375,NYJ,0.563,0.5,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.125
54878,2010,1,SD,0.813,0.875,KC,0.25,0.125,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-1.0,0.0,0.0,0.0,-8.125,0.0,0.0,0.0,8.375
54892,2010,2,HOU,0.563,0.625,WAS,0.25,0.375,0,1-0-0,1.0,0.0,1-0-0,1.0,1.0,loss,0.0,6.0,6.0,6.0,-4.375,10.0,10.0,10.0,3.4375
54885,2010,2,BUF,0.375,0.375,GB,0.688,0.75,0,0-1-0,0.0,0.0,1-0-0,1.0,0.0,win,0.0,7.0,7.0,7.0,10.25,-5.0,-5.0,-5.0,-4.25
54886,2010,2,MIA,0.43799999999999994,0.375,MIN,0.75,1.0,0,1-0-0,1.0,1.0,0-1-0,0.0,0.0,loss,0.0,-5.0,-5.0,-5.0,9.875,5.0,5.0,5.0,-1.875
54882,2010,2,KC,0.25,0.375,CLE,0.313,0.375,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,1.0,-3.0,-3.0,-3.0,-8.125,7.0,7.0,7.0,-8.125
54887,2010,2,PIT,0.563,0.375,TEN,0.5,0.625,0,1-0-0,1.0,0.0,1-0-0,1.0,1.0,loss,-1.0,25.0,25.0,25.0,-3.0,6.0,6.0,6.0,2.75
54883,2010,2,CHI,0.43799999999999994,0.25,DAL,0.688,0.75,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,0.0,-6.0,-6.0,-6.0,6.9375,5.0,5.0,5.0,-3.0
54884,2010,2,PHI,0.688,0.625,DET,0.125,0.25,0,0-1-0,0.0,0.0,0-1-0,0.0,0.0,loss,0.0,-5.0,-5.0,-5.0,-14.5,-7.0,-7.0,-7.0,5.75
54879,2010,2,ARI,0.625,0.75,ATL,0.563,0.75,0,1-0-0,1.0,1.0,0-1-0,0.0,0.0,win,0.0,-6.0,-6.0,-6.0,2.375,4.0,4.0,4.0,3.125
54880,2010,2,TB,0.188,0.25,CAR,0.5,0.625,1,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,0.33399999999999996,-13.0,-13.0,-13.0,0.4375,3.0,3.0,3.0,-9.75
54888,2010,2,SEA,0.313,0.125,DEN,0.5,0.5,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,win,0.0,-7.0,-7.0,-7.0,0.125,25.0,25.0,25.0,-6.875
54889,2010,2,STL,0.063,0.125,OAK,0.313,0.25,0,0-1-0,0.0,0.0,0-1-0,0.0,0.0,win,0.0,-25.0,-25.0,-25.0,-11.375,-4.0,-4.0,-4.0,-16.3125
54890,2010,2,NE,0.625,0.25,NYJ,0.563,0.5,1,1-0-0,1.0,0.0,0-1-0,0.0,0.0,win,0.0,-1.0,-1.0,-1.0,7.0,14.0,14.0,14.0,8.875
54881,2010,2,BAL,0.563,0.375,CIN,0.625,0.75,1,1-0-0,1.0,1.0,0-1-0,0.0,0.0,win,0.33399999999999996,-14.0,-14.0,-14.0,0.875,1.0,1.0,1.0,8.125
54891,2010,2,JAC,0.43799999999999994,0.25,SD,0.813,0.75,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,win,0.0,-7.0,-7.0,-7.0,8.375,7.0,7.0,7.0,-5.625
54893,2010,2,NYG,0.5,0.5,IND,0.875,0.875,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,win,0.0,-10.0,-10.0,-10.0,6.8125,13.0,13.0,13.0,-1.5625
54894,2010,2,NO,0.813,0.875,SF,0.5,0.75,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,0.0,-25.0,-25.0,-25.0,3.0625,5.0,5.0,5.0,10.5625
54902,2010,3,TEN,0.5,0.375,NYG,0.5,0.5,0,1-1-0,0.5,0.0,1-1-0,0.5,1.0,loss,0.0,-5.5,-5.5,-5.5,-1.5625,8.5,8.5,8.5,-3.0
54896,2010,3,CIN,0.625,0.5,CAR,0.5,0.625,0,1-1-0,0.5,0.0,0-2-0,0.0,0.0,loss,0.0,-13.0,-13.0,-13.0,0.4375,-4.5,-4.5,-4.5,0.875
54903,2010,3,PIT,0.563,0.375,TB,0.188,0.125,0,2-0-0,1.0,1.0,2-0-0,1.0,1.0,loss,0.0,8.0,8.0,8.0,-9.75,7.0,7.0,7.0,2.75
54900,2010,3,BUF,0.375,0.375,NE,0.625,1.0,1,0-2-0,0.0,0.0,1-1-0,0.5,1.0,win,1.0,0.0,0.0,0.0,8.875,-16.0,-16.0,-16.0,-4.25
54895,2010,3,CLE,0.313,0.25,BAL,0.563,0.75,1,0-2-0,0.0,0.0,1-1-0,0.5,0.0,win,1.0,-2.0,-2.0,-2.0,8.125,-2.5,-2.5,-2.5,-8.125
54899,2010,3,DET,0.125,0.0,MIN,0.75,1.0,1,0-2-0,0.0,0.0,0-2-0,0.0,0.0,win,0.33399999999999996,-4.5,-4.5,-4.5,9.875,-4.0,-4.0,-4.0,-14.5
54901,2010,3,ATL,0.563,0.375,NO,0.813,0.75,1,1-1-0,0.5,0.0,2-0-0,1.0,1.0,loss,1.0,4.0,4.0,4.0,10.5625,14.0,14.0,14.0,2.375
54905,2010,3,WAS,0.25,0.125,STL,0.063,0.0,0,1-1-0,0.5,0.0,0-2-0,0.0,0.0,win,-1.0,-3.0,-3.0,-3.0,-16.3125,1.5,1.5,1.5,-4.375
54897,2010,3,DAL,0.688,0.625,HOU,0.563,0.5,0,0-2-0,0.0,0.0,2-0-0,1.0,1.0,loss,0.0,6.5,6.5,6.5,3.4375,-6.5,-6.5,-6.5,6.9375
54898,2010,3,SF,0.5,0.25,KC,0.25,0.125,0,0-2-0,0.0,0.0,2-0-0,1.0,1.0,win,0.0,4.5,4.5,4.5,-8.125,-14.0,-14.0,-14.0,3.0625
54904,2010,3,PHI,0.688,0.625,JAC,0.43799999999999994,0.625,0,1-1-0,0.5,1.0,1-1-0,0.5,1.0,loss,0.0,-9.0,-9.0,-9.0,-5.625,-2.0,-2.0,-2.0,5.75
54907,2010,3,IND,0.875,0.875,DEN,0.5,0.5,0,1-1-0,0.5,0.0,1-1-0,0.5,1.0,loss,-1.0,5.0,5.0,5.0,0.125,7.0,7.0,7.0,6.8125
54906,2010,3,OAK,0.313,0.375,ARI,0.625,0.5,0,1-1-0,0.5,0.0,1-1-0,0.5,0.0,win,0.0,-15.0,-15.0,-15.0,3.125,-11.5,-11.5,-11.5,-11.375
54908,2010,3,SD,0.813,0.875,SEA,0.313,0.5,0,1-1-0,0.5,0.0,1-1-0,0.5,1.0,win,0.0,4.0,4.0,4.0,-6.875,9.0,9.0,9.0,8.375
54909,2010,3,NYJ,0.563,0.625,MIA,0.43799999999999994,0.5,1,1-1-0,0.5,0.0,2-0-0,1.0,0.0,loss,1.0,4.5,4.5,4.5,-1.875,6.5,6.5,6.5,7.0
54910,2010,3,GB,0.688,0.625,CHI,0.43799999999999994,0.625,1,2-0-0,1.0,1.0,2-0-0,1.0,1.0,win,-1.0,6.0,6.0,6.0,-3.0,17.0,17.0,17.0,10.25
54912,2010,4,NYJ,0.563,0.625,BUF,0.375,0.375,1,2-1-0,0.667,1.0,0-3-0,0.0,0.0,loss,-0.33399999999999996,-13.333,-13.333,-13.333,-4.25,7.0,7.0,7.0,7.0
54913,2010,4,CIN,0.625,0.5,CLE,0.313,0.375,1,2-1-0,0.667,0.5,0-3-0,0.0,0.0,win,-1.0,-4.0,-4.0,-4.0,-8.125,1.3330000000000002,1.3330000000000002,1.3330000000000002,0.875
54916,2010,4,BAL,0.563,0.375,PIT,0.563,0.75,1,2-1-0,0.667,0.5,3-0-0,1.0,1.0,loss,0.5,13.0,13.0,13.0,2.75,1.0,1.0,1.0,8.125
54918,2010,4,DEN,0.5,0.5,TEN,0.5,0.625,0,1-2-0,0.33299999999999996,0.0,2-1-0,0.667,0.5,loss,0.0,12.0,12.0,12.0,-3.0,-1.3330000000000002,-1.3330000000000002,-1.3330000000000002,0.125
54914,2010,4,DET,0.125,0.0,GB,0.688,0.75,1,0-3-0,0.0,0.0,2-1-0,0.667,1.0,win,0.33399999999999996,10.333,10.333,10.333,10.25,-7.332999999999999,-7.332999999999999,-7.332999999999999,-14.5
54911,2010,4,SF,0.5,0.25,ATL,0.563,0.75,0,0-3-0,0.0,0.0,2-1-0,0.667,1.0,win,1.0,10.333,10.333,10.333,2.375,-16.333,-16.333,-16.333,3.0625
54915,2010,4,CAR,0.5,0.375,NO,0.813,0.75,1,0-3-0,0.0,0.0,2-1-0,0.667,0.5,win,0.33399999999999996,1.6669999999999998,1.6669999999999998,1.6669999999999998,10.5625,-13.0,-13.0,-13.0,0.4375
54917,2010,4,SEA,0.313,0.125,STL,0.063,0.0,1,2-1-0,0.667,0.0,1-2-0,0.33299999999999996,0.5,win,-1.0,2.667,2.667,2.667,-16.3125,5.0,5.0,5.0,-6.875
54919,2010,4,IND,0.875,0.875,JAC,0.43799999999999994,0.625,1,2-1-0,0.667,0.5,1-2-0,0.33299999999999996,0.5,win,-1.0,-14.333,-14.333,-14.333,-5.625,9.333,9.333,9.333,6.8125
54920,2010,4,HOU,0.563,0.625,OAK,0.313,0.25,0,2-1-0,0.667,1.0,1-2-0,0.33299999999999996,1.0,loss,-1.0,-8.0,-8.0,-8.0,-11.375,-0.33299999999999996,-0.33299999999999996,-0.33299999999999996,3.4375
54921,2010,4,WAS,0.25,0.125,PHI,0.688,0.75,1,1-2-0,0.33299999999999996,0.0,2-1-0,0.667,0.0,loss,1.0,7.0,7.0,7.0,5.75,-3.667,-3.667,-3.667,-4.375
54922,2010,4,ARI,0.625,0.75,SD,0.813,0.75,0,2-1-0,0.667,0.5,1-2-0,0.33299999999999996,1.0,win,0.0,3.667,3.667,3.667,8.375,-9.667,-9.667,-9.667,3.125
54923,2010,4,CHI,0.43799999999999994,0.25,NYG,0.5,0.5,0,3-0-0,1.0,1.0,1-2-0,0.33299999999999996,0.5,win,0.0,-10.0,-10.0,-10.0,-1.5625,5.0,5.0,5.0,-3.0
54924,2010,4,NE,0.625,0.25,MIA,0.43799999999999994,0.5,1,2-1-0,0.667,0.0,2-1-0,0.667,0.0,loss,-0.33399999999999996,0.33299999999999996,0.33299999999999996,0.33299999999999996,-1.875,2.667,2.667,2.667,8.875
54926,2010,5,JAC,0.43799999999999994,0.25,BUF,0.375,0.375,0,2-2-0,0.5,0.0,0-4-0,0.0,0.0,loss,-1.0,-16.0,-19.667,-16.0,-4.25,-10.0,-15.667,-10.0,-5.625
54925,2010,5,DEN,0.5,0.5,BAL,0.563,0.75,0,2-2-0,0.5,0.5,3-1-0,0.75,1.0,win,1.0,1.5,1.6669999999999998,1.5,8.125,0.5,3.0,0.5,0.125
54931,2010,5,KC,0.25,0.375,IND,0.875,0.875,0,3-0-0,1.0,1.0,2-2-0,0.5,1.0,win,0.0,6.25,11.667,6.25,6.8125,10.0,10.0,5.0,-8.125
54933,2010,5,GB,0.688,0.625,WAS,0.25,0.375,0,3-1-0,0.75,0.5,2-2-0,0.5,0.5,win,0.0,-1.5,-4.0,-1.5,-4.375,8.25,8.667,8.25,10.25
54930,2010,5,STL,0.063,0.125,DET,0.125,0.25,0,2-2-0,0.5,0.0,0-4-0,0.0,0.0,win,-1.0,-6.0,-6.332999999999999,-6.0,-14.5,6.25,9.667,6.25,-16.3125
54927,2010,5,CHI,0.43799999999999994,0.25,CAR,0.5,0.625,0,3-1-0,0.75,0.5,0-4-0,0.0,0.0,loss,0.0,-10.25,-9.333,-10.25,0.4375,0.25,-1.3330000000000002,0.25,-3.0
54928,2010,5,TB,0.188,0.25,CIN,0.625,0.75,0,2-1-0,0.667,1.0,2-2-0,0.5,1.0,loss,0.0,0.25,5.0,0.25,0.875,-3.0,-3.0,-1.5,-9.75
54929,2010,5,ATL,0.563,0.375,CLE,0.313,0.375,0,3-1-0,0.75,0.5,1-3-0,0.25,0.5,loss,0.0,-2.25,-2.0,-2.25,-8.125,8.25,13.0,8.25,2.375
54932,2010,5,NYG,0.5,0.5,HOU,0.563,0.5,0,2-2-0,0.5,0.0,3-1-0,0.75,0.5,loss,0.0,1.5,-1.3330000000000002,1.5,3.4375,-4.0,-9.667,-4.0,-1.5625
54934,2010,5,NO,0.813,0.875,ARI,0.625,0.5,0,3-1-0,0.75,1.0,2-2-0,0.5,1.0,win,-1.0,-15.0,-21.333000000000002,-15.0,3.125,1.75,0.667,1.75,10.5625
54935,2010,5,TEN,0.5,0.375,DAL,0.688,0.75,0,2-2-0,0.5,1.0,1-2-0,0.33299999999999996,0.0,loss,0.0,0.33299999999999996,0.33299999999999996,-1.5,6.9375,7.5,1.6669999999999998,7.5,-3.0
54936,2010,5,SD,0.813,0.875,OAK,0.313,0.25,1,2-2-0,0.5,0.0,1-3-0,0.25,0.5,win,-0.33399999999999996,-7.75,-2.0,-7.75,-11.375,10.5,16.333,10.5,8.375
54937,2010,5,PHI,0.688,0.625,SF,0.5,0.75,0,2-2-0,0.5,1.0,0-4-0,0.0,0.0,loss,-1.0,-12.75,-8.667,-12.75,3.0625,4.0,7.667000000000001,4.0,5.75
54938,2010,5,MIN,0.75,0.5,NYJ,0.563,0.5,0,1-2-0,0.33299999999999996,0.0,3-1-0,0.75,0.5,win,0.0,11.25,15.333,11.25,7.0,1.6669999999999998,1.6669999999999998,-1.0,9.875
54940,2010,6,MIA,0.43799999999999994,0.375,GB,0.688,0.75,0,2-2-0,0.5,1.0,3-2-0,0.6,1.0,loss,0.0,6.0,-1.3330000000000002,6.0,10.25,-6.5,-10.333,-4.6,-1.875
54946,2010,6,SD,0.813,0.875,STL,0.063,0.0,0,2-3-0,0.4,0.0,2-3-0,0.4,0.667,win,0.0,-2.6,-2.333,-2.6,-16.3125,6.8,5.332999999999999,6.8,8.375
54942,2010,6,BAL,0.563,0.375,NE,0.625,1.0,0,4-1-0,0.8,0.667,3-1-0,0.75,1.0,win,0.0,8.75,7.0,7.6,8.875,4.0,8.0,4.0,8.125
54945,2010,6,CLE,0.313,0.25,PIT,0.563,0.75,1,1-4-0,0.2,0.0,3-1-0,0.75,0.5,win,0.33399999999999996,9.0,10.0,10.8,2.75,-3.8,-4.667,-3.8,-8.125
54941,2010,6,KC,0.25,0.375,HOU,0.563,0.5,0,3-1-0,0.75,0.5,3-2-0,0.6,0.33299999999999996,win,0.0,-3.6,-10.333,-3.6,3.4375,5.0,4.333,3.2,-8.125
54943,2010,6,DET,0.125,0.0,NYG,0.5,0.5,0,1-4-0,0.2,0.0,3-2-0,0.6,0.667,win,0.0,1.6,6.332999999999999,1.6,-1.5625,2.8,7.332999999999999,2.8,-14.5
54944,2010,6,ATL,0.563,0.375,PHI,0.688,0.75,0,4-1-0,0.8,0.667,3-2-0,0.6,0.0,win,1.0,3.8,7.667000000000001,3.8,5.75,8.6,5.0,8.6,2.375
54939,2010,6,SEA,0.313,0.125,CHI,0.43799999999999994,0.625,0,2-2-0,0.5,0.0,4-1-0,0.8,1.0,loss,1.0,3.6,2.0,3.6,-3.0,-0.5,-9.0,0.2,-6.875
54947,2010,6,NO,0.813,0.875,TB,0.188,0.125,1,3-2-0,0.6,0.5,3-1-0,0.75,0.5,loss,0.33399999999999996,-1.5,-3.0,-6.2,-9.75,-0.6,-3.667,-0.6,10.5625
54948,2010,6,NYJ,0.563,0.625,DEN,0.5,0.5,0,4-1-0,0.8,1.0,2-3-0,0.4,0.5,loss,0.0,-2.4,-7.332999999999999,-2.4,0.125,10.8,13.667,10.8,7.0
54949,2010,6,OAK,0.313,0.375,SF,0.5,0.75,0,2-3-0,0.4,0.0,0-5-0,0.0,0.0,win,0.0,-10.8,-8.667,-10.8,3.0625,-4.6,0.0,-4.6,-11.375
54950,2010,6,DAL,0.688,0.625,MIN,0.75,1.0,0,1-3-0,0.25,0.5,1-3-0,0.25,0.5,win,1.0,-1.0,0.33299999999999996,-0.2,9.875,-1.5,0.0,-1.8,6.9375
54951,2010,6,IND,0.875,0.875,WAS,0.25,0.375,0,3-2-0,0.6,0.33299999999999996,3-2-0,0.6,0.667,loss,0.0,-0.6,-2.0,-0.6,-4.375,7.0,7.0,7.0,6.8125
54952,2010,6,TEN,0.5,0.375,JAC,0.43799999999999994,0.625,1,3-2-0,0.6,1.0,3-2-0,0.6,0.667,loss,0.33399999999999996,-6.0,-4.0,-6.0,-5.625,7.4,6.667000000000001,7.4,-3.0
54953,2010,7,CIN,0.625,0.5,ATL,0.563,0.75,0,2-3-0,0.4,0.33299999999999996,4-2-0,0.667,1.0,win,0.0,4.833,-0.667,7.0,2.375,-0.4,2.333,-0.4,0.875
54818,2010,7,PIT,0.563,0.375,MIA,0.43799999999999994,0.5,0,4-1-0,0.8,1.0,3-2-0,0.6,0.0,loss,-1.0,-4.6,-10.667,-4.6,-1.875,10.8,13.333,10.8,2.75
54954,2010,7,BUF,0.375,0.375,BAL,0.563,0.75,0,0-5-0,0.0,0.0,4-2-0,0.667,1.0,win,0.0,2.833,4.667,3.2,8.125,-14.8,-14.0,-14.8,-4.25
54817,2010,7,JAC,0.43799999999999994,0.25,KC,0.25,0.125,0,3-3-0,0.5,0.5,3-2-0,0.6,1.0,win,-1.0,3.2,2.333,3.2,-8.125,-9.5,-4.667,-12.8,-5.625
