away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,win
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,loss
0-0-0,0,0,0-0-0,0,0,win
0-1-0,0.0,0,0-1-0,0.0,0,loss
1-0-0,1.0,0,0-1-0,0.0,0,win
1-0-0,1.0,0,0-1-0,0.0,0,loss
0-1-0,0.0,0,1-0-0,1.0,0,loss
1-0-0,1.0,0,1-0-0,1.0,1.0,win
0-1-0,0.0,0.0,1-0-0,1.0,0,win
0-1-0,0.0,0,1-0-0,1.0,0,win
1-0-0,1.0,1.0,1-0-0,1.0,0,win
0-1-0,0.0,0,0-1-0,0.0,0.0,loss
1-0-0,1.0,1.0,0-1-0,0.0,0.0,win
1-0-0,1.0,0,0-1-0,0.0,0,win
0-1-0,0.0,0,1-0-0,1.0,1.0,win
0-1-0,0.0,0,1-0-0,1.0,0,loss
0-1-0,0.0,0,0-1-0,0.0,0,win
1-0-0,1.0,1.0,1-0-0,1.0,0,win
1-0-0,1.0,0,0-1-0,0.0,0,loss
2-0-0,1.0,0,2-0-0,1.0,1.0,win
1-1-0,0.5,0,0-2-0,0.0,0.0,win
2-0-0,1.0,1.0,1-1-0,0.5,1.0,loss
2-0-0,1.0,0,1-1-0,0.5,0,loss
1-1-0,0.5,1.0,1-1-0,0.5,0,win
2-0-0,1.0,1.0,0-2-0,0.0,0.0,loss
0-2-0,0.0,0.0,0-2-0,0.0,0,win
0-2-0,0.0,0,2-0-0,1.0,1.0,loss
1-1-0,0.5,1.0,1-1-0,0.5,0.0,loss
1-1-0,0.5,0.0,1-1-0,0.5,1.0,win
1-1-0,0.5,0.0,1-1-0,0.5,0,loss
2-0-0,1.0,1.0,2-0-0,1.0,1.0,win
1-1-0,0.5,0.0,0-2-0,0.0,0.0,win
1-1-0,0.5,1.0,1-1-0,0.5,1.0,win
0-2-0,0.0,0.0,1-1-0,0.5,0.0,win
1-1-0,0.5,1.0,0-2-0,0.0,0.0,loss
1-2-0,0.333,0.0,1-2-0,0.333,0.0,win
1-2-0,0.333,0.0,0-3-0,0.0,0.0,win
1-2-0,0.333,0.0,2-1-0,0.667,0.0,win
2-1-0,0.667,1.0,3-0-0,1.0,1.0,loss
1-2-0,0.333,0.5,0-3-0,0.0,0.0,win
1-2-0,0.333,1.0,2-1-0,0.667,1.0,win
1-2-0,0.333,0.0,3-0-0,1.0,1.0,loss
2-1-0,0.667,0.0,1-2-0,0.333,0.0,loss
0-3-0,0.0,0.0,1-2-0,0.333,0.0,win
3-0-0,1.0,1.0,1-2-0,0.333,0.0,loss
2-1-0,0.667,0.5,1-2-0,0.333,0.5,loss
0-3-0,0.0,0.0,1-2-0,0.333,1.0,loss
2-1-0,0.667,1.0,1-2-0,0.333,1.0,loss
2-1-0,0.667,0.0,2-1-0,0.667,1.0,win
2-1-0,0.667,1.0,3-0-0,1.0,1.0,win
1-3-0,0.25,0.0,1-3-0,0.25,0.5,loss
2-2-0,0.5,1.0,3-1-0,0.75,0.5,loss
3-1-0,0.75,1.0,0-4-0,0.0,0.0,loss
3-0-0,1.0,1.0,1-3-0,0.25,0.0,win
1-3-0,0.25,0.0,1-3-0,0.25,0.5,win
1-3-0,0.25,0.5,1-3-0,0.25,1.0,loss
3-1-0,0.75,0.0,4-0-0,1.0,1.0,win
1-3-0,0.25,0.5,3-1-0,0.75,1.0,win
3-1-0,0.75,1.0,4-0-0,1.0,1.0,loss
2-2-0,0.5,0.5,3-1-0,0.75,0.5,win
2-2-0,0.5,0.5,3-1-0,0.75,1.0,loss
1-3-0,0.25,0.0,3-1-0,0.75,0.0,win
2-2-0,0.5,0.5,2-1-0,0.667,1.0,win
1-3-0,0.25,0.5,1-3-0,0.25,0.5,loss
4-1-0,0.8,1.0,1-4-0,0.2,0.5,win
1-4-0,0.2,0.0,3-2-0,0.6,0.5,win
1-3-0,0.25,0.0,1-4-0,0.2,0.5,loss
3-2-0,0.6,0.667,2-3-0,0.4,0.5,win
4-1-0,0.8,0.5,1-4-0,0.2,0.5,win
2-3-0,0.4,0.333,4-1-0,0.8,0.667,win
1-4-0,0.2,0.0,1-3-0,0.25,0.0,win
3-2-0,0.6,1.0,2-3-0,0.4,0.5,win
0-5-0,0.0,0.0,2-3-0,0.4,0.0,win
3-1-0,0.75,0.5,3-2-0,0.6,0.333,win
2-2-0,0.5,0.0,4-1-0,0.8,0.5,loss
4-1-0,0.8,1.0,3-1-0,0.75,1.0,loss
4-1-0,0.8,1.0,3-1-0,0.75,1.0,win
2-3-0,0.4,0.0,3-2-0,0.6,1.0,win
1-4-0,0.2,0.333,2-3-0,0.4,0.333,win
1-5-0,0.167,0.0,3-2-0,0.6,0.667,win
3-3-0,0.5,0.333,3-3-0,0.5,0.5,loss
0-6-0,0.0,0.0,2-4-0,0.333,0.5,win
4-2-0,0.667,1.0,3-3-0,0.5,0.667,win
4-2-0,0.667,1.0,2-3-0,0.4,0.333,loss
2-3-0,0.4,0.5,3-2-0,0.6,1.0,win
4-2-0,0.667,0.667,2-4-0,0.333,0.667,win
3-3-0,0.5,0.667,1-5-0,0.167,0.0,win
5-0-0,1.0,1.0,3-2-0,0.6,1.0,win
2-4-0,0.333,0.0,3-3-0,0.5,0.333,loss
2-4-0,0.333,0.0,4-2-0,0.667,0.5,loss
2-3-0,0.4,0.667,1-5-0,0.167,0.333,loss
5-1-0,0.833,1.0,4-2-0,0.667,1.0,loss
4-1-0,0.8,0.5,3-3-0,0.5,0.5,tie
4-2-0,0.667,0.0,4-2-0,0.667,0.667,win
2-4-0,0.333,0.5,3-4-0,0.429,0.25,win
4-3-0,0.571,0.667,3-4-0,0.429,0.667,tie
4-2-0,0.667,0.5,4-3-0,0.571,0.333,win
6-1-0,0.857,1.0,4-3-0,0.571,0.667,loss
2-5-0,0.286,0.25,0-7-0,0.0,0.0,loss
4-3-0,0.571,0.333,4-3-0,0.571,1.0,win
4-2-0,0.667,0.333,3-4-0,0.429,0.667,loss
4-1-1,0.75,0.5,2-4-0,0.333,0.333,win
5-2-0,0.714,1.0,3-3-0,0.5,0.0,loss
3-4-0,0.429,0.25,5-2-0,0.714,0.75,win
3-3-1,0.5,0.5,1-5-0,0.167,0.333,win
4-2-0,0.667,0.333,5-1-0,0.833,0.667,win
5-1-0,0.833,0.667,1-6-0,0.143,0.333,win
5-3-0,0.625,0.75,3-4-0,0.429,0.0,loss
6-2-0,0.75,0.667,6-2-0,0.75,0.333,win
4-3-0,0.571,0.333,3-4-0,0.429,0.333,win
6-1-0,0.857,1.0,0-8-0,0.0,0.0,loss
2-5-0,0.286,0.333,5-2-0,0.714,1.0,win
3-5-0,0.375,0.4,3-4-0,0.429,0.75,win
4-4-0,0.5,0.25,5-2-0,0.714,1.0,loss
4-3-0,0.571,0.25,4-3-0,0.571,0.667,win
2-5-0,0.286,0.0,3-4-0,0.429,0.333,loss
3-4-0,0.429,0.333,1-6-0,0.143,0.25,loss
3-5-0,0.375,0.25,4-3-0,0.571,0.75,loss
4-4-0,0.5,0.667,3-5-0,0.375,0.667,win
4-4-0,0.5,0.5,4-2-1,0.643,1.0,win
0-9-0,0.0,0.0,4-4-0,0.5,0.5,win
6-2-0,0.75,0.5,3-5-0,0.375,0.5,loss
5-3-0,0.625,0.0,2-6-0,0.25,0.25,loss
6-3-0,0.667,0.5,4-4-0,0.5,0.5,loss
3-5-0,0.375,0.5,3-6-0,0.333,0.333,loss
6-3-0,0.667,0.8,4-4-0,0.5,1.0,win
2-6-0,0.25,0.0,3-5-0,0.375,0.0,win
4-4-0,0.5,0.333,4-5-0,0.444,0.4,win
5-3-0,0.625,0.5,4-3-1,0.563,0.5,win
4-4-0,0.5,0.0,4-5-0,0.444,0.75,loss
1-7-0,0.125,0.0,3-4-1,0.438,0.5,win
7-1-0,0.875,1.0,4-4-0,0.5,0.75,loss
5-2-1,0.688,0.375,7-1-0,0.875,0.75,loss
3-4-1,0.438,0.25,5-3-0,0.625,0.75,win
4-5-0,0.444,0.5,3-6-0,0.333,0.4,win
4-5-0,0.444,0.4,3-5-1,0.389,0.625,loss
4-5-0,0.444,0.25,0-10-0,0.0,0.0,loss
5-4-0,0.556,0.5,8-1-0,0.889,0.75,win
2-7-0,0.222,0.25,5-4-0,0.556,0.75,win
5-5-0,0.5,0.5,4-5-0,0.444,0.5,win
4-5-0,0.444,0.75,7-2-0,0.778,1.0,loss
4-4-1,0.5,0.333,5-4-0,0.556,0.75,win
2-7-0,0.222,0.0,6-3-0,0.667,0.8,win
5-4-0,0.556,0.25,4-5-0,0.444,0.25,loss
7-2-0,0.778,1.0,1-8-0,0.111,0.2,loss
5-4-0,0.556,0.2,6-2-1,0.722,1.0,win
4-5-0,0.444,0.25,5-3-1,0.611,0.6,win
6-3-0,0.667,0.25,7-2-0,0.778,0.5,win
6-4-0,0.6,0.4,6-4-0,0.6,0.8,win
6-3-1,0.65,0.625,9-1-0,0.9,0.8,win
5-5-0,0.5,0.4,5-5-0,0.5,0.6,loss
4-5-1,0.45,0.25,6-4-0,0.6,0.5,win
3-6-1,0.35,0.2,5-5-0,0.5,0.6,win
2-8-0,0.2,0.2,5-5-0,0.5,0.5,win
5-6-0,0.455,0.4,2-8-0,0.2,0.5,loss
7-3-0,0.7,0.5,0-11-0,0.0,0.0,loss
4-6-0,0.4,0.2,6-4-0,0.6,1.0,loss
1-9-0,0.1,0.0,6-4-0,0.6,0.8,win
4-6-0,0.4,0.6,4-6-0,0.4,0.4,win
7-2-1,0.75,0.5,5-5-0,0.5,0.2,win
7-3-0,0.7,0.6,7-3-0,0.7,0.8,loss
4-6-0,0.4,0.25,8-2-0,0.8,0.6,win
8-2-0,0.8,1.0,3-7-0,0.3,0.25,loss
4-6-0,0.4,0.2,5-5-0,0.5,1.0,loss
10-1-0,0.909,1.0,6-5-0,0.545,0.8,loss
8-3-0,0.727,0.667,7-4-0,0.636,0.6,loss
7-4-0,0.636,0.4,6-5-0,0.545,0.667,win
1-10-0,0.091,0.0,2-9-0,0.182,0.4,win
5-6-0,0.455,0.167,3-7-1,0.318,0.5,win
6-5-0,0.545,0.2,5-6-0,0.455,0.6,win
7-4-0,0.636,0.6,2-9-0,0.182,0.2,loss
4-7-0,0.364,0.5,9-2-0,0.818,0.6,win
7-4-0,0.636,0.4,5-6-0,0.455,0.5,loss
6-5-0,0.545,0.5,9-2-0,0.818,0.667,win
6-4-1,0.591,0.5,4-6-1,0.409,0.583,win
8-3-0,0.727,0.6,6-5-0,0.545,0.6,win
6-5-0,0.545,0.8,5-6-0,0.455,0.6,loss
4-7-0,0.364,0.2,7-3-1,0.682,1.0,win
5-6-0,0.455,0.4,3-8-0,0.273,0.2,loss
10-2-0,0.833,1.0,9-3-0,0.75,0.8,win
7-5-0,0.583,0.5,6-6-0,0.5,0.6,loss
5-7-0,0.417,0.333,4-8-0,0.333,0.5,win
4-7-1,0.375,0.167,0-12-0,0.0,0.0,loss
3-9-0,0.25,0.0,8-4-0,0.667,0.833,win
6-6-0,0.5,0.167,6-6-0,0.5,0.5,loss
6-6-0,0.5,0.333,2-10-0,0.167,0.167,loss
5-6-1,0.458,0.2,7-5-0,0.583,0.833,win
6-5-1,0.542,0.417,5-7-0,0.417,0.8,loss
5-7-0,0.417,0.4,7-5-0,0.583,0.333,win
8-4-0,0.667,0.667,6-6-0,0.5,0.5,win
3-9-0,0.25,0.333,1-11-0,0.083,0.167,loss
8-3-1,0.708,0.417,6-6-0,0.5,0.667,win
7-5-0,0.583,0.667,4-8-0,0.333,0.2,loss
11-1-0,0.917,1.0,8-4-0,0.667,0.833,win
7-5-0,0.583,0.4,10-2-0,0.833,0.667,win
4-9-0,0.308,0.429,8-4-1,0.654,1.0,win
8-5-0,0.615,0.333,4-9-0,0.308,0.167,loss
5-8-0,0.385,0.143,7-6-0,0.538,0.714,win
0-13-0,0.0,0.0,6-7-0,0.462,0.5,win
7-6-0,0.538,0.333,3-10-0,0.231,0.5,loss
8-5-0,0.615,0.833,11-2-0,0.846,0.833,win
2-11-0,0.154,0.167,7-6-0,0.538,0.833,win
7-6-0,0.538,0.5,10-3-0,0.769,0.833,loss
6-7-0,0.462,0.5,7-6-0,0.538,0.667,loss
9-4-0,0.692,0.5,9-4-0,0.692,0.857,win
5-8-0,0.385,0.333,5-7-1,0.423,0.643,loss
1-12-0,0.077,0.0,8-5-0,0.615,0.5,win
11-2-0,0.846,1.0,8-5-0,0.615,0.667,loss
10-3-0,0.769,0.833,5-8-0,0.385,0.5,loss
8-5-0,0.615,0.571,5-7-1,0.423,0.583,loss
5-8-0,0.385,0.167,7-5-1,0.577,0.667,loss
10-4-0,0.714,0.5,5-9-0,0.357,0.667,win
9-5-0,0.643,0.429,7-7-0,0.5,0.571,loss
9-5-0,0.643,0.714,6-8-0,0.429,0.571,loss
7-6-1,0.536,0.5,3-11-0,0.214,0.429,loss
5-9-0,0.357,0.286,0-14-0,0.0,0.0,win
7-7-0,0.5,0.429,8-6-0,0.571,0.714,win
8-6-0,0.571,0.571,2-12-0,0.143,0.143,win
4-10-0,0.286,0.429,12-2-0,0.857,0.714,win
8-6-0,0.571,0.714,6-8-0,0.429,0.429,win
7-7-0,0.5,0.571,11-3-0,0.786,0.714,win
1-13-0,0.071,0.0,4-10-0,0.286,0.167,loss
5-8-1,0.393,0.167,9-4-1,0.679,1.0,loss
5-8-1,0.393,0.286,8-6-0,0.571,0.857,win
8-6-0,0.571,0.333,9-5-0,0.643,0.667,win
8-6-0,0.571,0.571,10-4-0,0.714,0.714,win
9-5-0,0.643,0.429,12-2-0,0.857,0.857,win
7-8-0,0.467,0.429,10-5-0,0.667,0.571,win
8-7-0,0.533,0.286,5-9-1,0.367,0.5,win
9-6-0,0.6,0.429,9-6-0,0.6,0.857,loss
3-12-0,0.2,0.143,7-8-0,0.467,0.429,win
13-2-0,0.867,1.0,10-5-0,0.667,0.857,loss
3-12-0,0.2,0.0,7-8-0,0.467,0.571,win
7-8-0,0.467,0.429,4-11-0,0.267,0.143,win
13-2-0,0.867,0.857,6-9-0,0.4,0.714,win
1-14-0,0.067,0.0,10-5-0,0.667,0.714,win
6-9-0,0.4,0.286,8-7-0,0.533,0.429,win
9-6-0,0.6,0.286,8-7-0,0.533,0.571,win
10-5-0,0.667,0.429,8-6-1,0.567,0.571,loss
12-3-0,0.8,0.857,8-7-0,0.533,0.571,win
6-8-1,0.433,0.286,4-11-0,0.267,0.143,loss
11-4-0,0.733,0.714,5-10-0,0.333,0.429,loss
9-5-1,0.633,0.357,2-13-0,0.133,0.143,loss
